LOC135074699	LOC135074699	Gene Expression
LOC135074709	LOC135074709	Gene Expression
LOC135074877	LOC135074877	Gene Expression
LOC135074717	LOC135074717	Gene Expression
LOC135074055	LOC135074055	Gene Expression
LOC135074348	LOC135074348	Gene Expression
LOC135075295	LOC135075295	Gene Expression
LOC135074782	LOC135074782	Gene Expression
LOC135074547	LOC135074547	Gene Expression
LOC135075420	LOC135075420	Gene Expression
LOC135076884	LOC135076884	Gene Expression
LOC135074723	LOC135074723	Gene Expression
LOC135076893	LOC135076893	Gene Expression
LOC135074689	LOC135074689	Gene Expression
LOC135074690	LOC135074690	Gene Expression
LOC135074732	LOC135074732	Gene Expression
LOC135074739	LOC135074739	Gene Expression
LOC135074744	LOC135074744	Gene Expression
LOC135075521	LOC135075521	Gene Expression
LOC135075626	LOC135075626	Gene Expression
LOC135075780	LOC135075780	Gene Expression
LOC135076037	LOC135076037	Gene Expression
LOC135076126	LOC135076126	Gene Expression
LOC135075948	LOC135075948	Gene Expression
Trnaq-cug	Trnaq-cug	Gene Expression
LOC135074751	LOC135074751	Gene Expression
LOC135076903	LOC135076903	Gene Expression
Trnad-guc	Trnad-guc	Gene Expression
LOC135074758	LOC135074758	Gene Expression
LOC135076910	LOC135076910	Gene Expression
LOC135076922	LOC135076922	Gene Expression
LOC135076928	LOC135076928	Gene Expression
LOC135076940	LOC135076940	Gene Expression
LOC135074760	LOC135074760	Gene Expression
LOC135076949	LOC135076949	Gene Expression
LOC135078186	LOC135078186	Gene Expression
LOC135074768	LOC135074768	Gene Expression
LOC135076190	LOC135076190	Gene Expression
LOC135076285	LOC135076285	Gene Expression
LOC135076380	LOC135076380	Gene Expression
LOC135076493	LOC135076493	Gene Expression
LOC135074778	LOC135074778	Gene Expression
LOC135078091	LOC135078091	Gene Expression
LOC135077909	LOC135077909	Gene Expression
LOC135074789	LOC135074789	Gene Expression
LOC135076957	LOC135076957	Gene Expression
LOC135077412	LOC135077412	Gene Expression
LOC135077502	LOC135077502	Gene Expression
LOC135078003	LOC135078003	Gene Expression
LOC135076964	LOC135076964	Gene Expression
LOC135074800	LOC135074800	Gene Expression
LOC135076970	LOC135076970	Gene Expression
LOC135076605	LOC135076605	Gene Expression
LOC135074808	LOC135074808	Gene Expression
LOC135076981	LOC135076981	Gene Expression
LOC135077259	LOC135077259	Gene Expression
LOC135077691	LOC135077691	Gene Expression
LOC135077600	LOC135077600	Gene Expression
LOC135076984	LOC135076984	Gene Expression
LOC135074823	LOC135074823	Gene Expression
LOC135076986	LOC135076986	Gene Expression
LOC135076768	LOC135076768	Gene Expression
LOC135074833	LOC135074833	Gene Expression
LOC135077153	LOC135077153	Gene Expression
LOC135077805	LOC135077805	Gene Expression
